"id","catalog_number","description"
"2851860","VGFH20B","CPR-WDK VGFH20B GFCI HG Deco Duplex 20A 125V BR"
"2851859","VGFH15WMOD","CPR-WDK VGFH15WMOD GFCI HG Deco Duplex 15A 125V MOD WH"
"2851858","VGFH15W","CPR-WDK VGFH15W GFCI HG Deco Duplex 15A 125V WH"
"2851857","VGFH15V","CPR-WDK VGFH15V GFCI HG Deco Duplex 15A 125V IV"
"2851856","VGFH15RDMOD","CPR-WDK VGFH15RDMOD GFCI HG Deco Duplex 15A 125V MOD RD"
"2851855","VGFH15RD","CPR-WDK VGFH15RD GFCI HG Deco Duplex 15A 125V RD"
"2851854","VGFH15LAM","CPR-WDK VGFH15LAM GFCI HG Deco Duplex 15A 125V MOD LA"
"2851853","VGFH15LA","CPR-WDK VGFH15LA GFCI HG Deco Duplex 15A 125V LA"
"2851852","VGFH15GY","CPR-WDK VGFH15GY GFCI HG Deco Duplex 15A 125V GY"
"2851851","VGFH15FW","CPR-WDK VGFH15FW GFCI HG Deco Duplex 15A 125V WH NAFTA"
"2851850","VGFH15FV","CPR-WDK VGFH15FV GFCI HG Deco Duplex 15A 125V IV NAFTA"
"2851849","VGFH15FRD","CPR-WDK VGFH15FRD GFCI HG Deco Duplex 15A 125V RD NAFTA"
"2851848","VGFH15FLA","CPR-WDK VGFH15FLA GFCI HG Deco Duplex 15A 125V LA NAFTA"
"2851847","VGFH15FGY","CPR-WDK VGFH15FGY GFCI HG Deco Duplex 15A 125V GY NAFTA"
"2851846","VGFH15FB","CPR-WDK VGFH15FB GFCI HG Deco Duplex 15A 125V BR NAFTA"
"2851845","VGFH15B","CPR-WDK VGFH15B GFCI HG Deco Duplex 15A 125V BR"
"2851844","VGFD20W","CPR-WDK VGFD20W GFCI Deco Blank Face 20A 125V WH"
"2851843","VGFD20V","CPR-WDK VGFD20V GFCI Deco Blank Face 20A 125V IV"
"2851842","VGFD20LA","CPR-WDK VGFD20LA GFCI Deco Blank Face 20A 125V LA"
"2851841","VGFD20BK","CPR-WDK VGFD20BK GFCI Deco Blank Face 20A 125V BK"
"2851840","VGF20WMOD","CPR-WDK VGF20WMOD GFCI Deco Duplex 20A 125V MOD WH"
"2851839","VGF20W-AG","CPR-WDK VGF20W-AG GFCI Deco Duplex 20A 125V AutoGrd WH"
"2851838","VGF20W","CPR-WDK VGF20W GFCI Deco Duplex 20A 125V WH"
"2851837","VGF20V-PSTR","CPR-WDK VGF20V-PSTR GFCI Deco Duplex 20A 125V IV & STR Leads"
"2851836","VGF20V-PSOL","CPR-WDK VGF20V-PSOL GFCI Deco Duplex 20A 125V w/Sol Leads IV"
"2851835","VGF20VMOD","CPR-WDK VGF20VMOD GFCI Deco Duplex 20A 125V MOD IV"
"2851834","VGF20V-AG","CPR-WDK VGF20V-AG GFCI Deco Duplex 20A 125V AutoGrd IV"
"2851833","VGF20V","CPR-WDK VGF20V GFCI Deco Duplex 20A 125V IV"
"2851832","VGF20RD-PSTR","CPR-WDK VGF20RD-PSTR GFCI Deco Duplex 20A125V RD StrandedLead"
"2851831","VGF20RDMOD","CPR-WDK VGF20RDMOD GFCI Deco Duplex 20A 125V RD MOD"
"2851830","VGF20RD","CPR-WDK VGF20RD GFCI Deco Duplex 20A 125V RD"
"2851829","VGF20LAMOD","CPR-WDK VGF20LAMOD GFCI Deco Duplex 20A 125V MOD LA"
"2851828","VGF20LA","CPR-WDK VGF20LA GFCI Deco Duplex 20A 125V LA"
"2851827","VGF20GYMOD","CPR-WDK VGF20GYMOD GFCI Deco Duplex 20A 125V MOD GY"
"2851826","VGF20GY","CPR-WDK VGF20GY GFCI Deco Duplex 20A 125V GY"
"2851825","VGF20FW-PSOL","CPR-WDK VGF20FW-PSOL GFCI DecoDup 20A125V NAFTA w/Sol Lds WH"
"2851824","VGF20FWMOD","CPR-WDK VGF20FWMOD GFCI Duplex 20A 125V MOD WH NAFTA"
"2851823","VGF20FW","CPR-WDK VGF20FW GFCI Deco Duplex 20A 125V WH NAFTA"
"2851822","VGF20FVMOD","CPR-WDK VGF20FVMOD GFCI Duplex 20A 125V MOD IV NAFTA"
"2851821","VGF20FV","CPR-WDK VGF20FV GFCI Deco Duplex 20A 125V IV NAFTA"
"2851820","VGF20FRD","CPR-WDK VGF20FRD GFCI Deco Duplex 20A 125V RD NAFTA"
"2851819","VGF20FLA","CPR-WDK VGF20FLA GFCI Deco Duplex 20A 125V LA NAFTA"
"2851818","VGF20FGY","CPR-WDK VGF20FGY GFCI Deco Duplex 20A 125V GY NAFTA"
"2851817","VGF20FBK","CPR-WDK VGF20FBK GFCI Deco Duplex 20A 125V BK NAFTA"
"2851816","VGF20FB","CPR-WDK VGF20FB GFCI Deco Duplex 20A 125V BR NAFTA"
"2851815","VGF20BMOD","CPR-WDK VGF20BMOD GFCI Deco Duplex 20A 125V MOD BR"
"2851814","VGF20BKM","CPR-WDK VGF20BKM GFCI Deco Duplex 20A 125V MOD BK"
"2851813","VGF20BK","CPR-WDK VGF20BK GFCI Deco Duplex 20A 125V BK"
"2851812","VGF20B","CPR-WDK VGF20B GFCI Deco Duplex 20A 125V BR"
"2851811","VGF20AMOD","CPR-WDK VGF20AMOD GFCI Deco Duplex 20A 125V MOD AL"
"2851810","VGF20A","CPR-WDK VGF20A GFCI Deco Duplex 20A 125V AL"
"2851809","VGF15W-SP","CPR-WDK VGF15W-SP GFCI Deco Duplex 15A 125V WH"
"2851808","VGF15WMOD","CPR-WDK VGF15WMOD GFCI Deco Duplex 15A 125V MOD WH"
"2851807","VGF15W-M","CPR-WDK VGF15W-M GFCI Deco Duplex 15A 125V Mid Wlplt WH"
"2851806","VGF15W-AG","CPR-WDK VGF15W-AG GFCI Deco Duplex 15A 125V AutoGrd WH"
"2851804","VGF15W-3","CPR-WDK VGF15W-3 GFCI Deco Duplex 15A 125V 3PK NoWlplt WH"
"2851803","VGF15W","CPR-WDK VGF15W GFCI Deco Duplex 15A 125V WH"
"2851802","VGF15V-SP","CPR-WDK VGF15V-SP GFCI Deco Duplex 15A 125V IV"
"2851801","VGF15VMOD","CPR-WDK VGF15VMOD GFCI Deco Duplex 15A 125V MOD IV"
"2851800","VGF15V-M","CPR-WDK VGF15V-M GFCI Deco Duplex 15A 125V Mid Wlplt IV"
"2851799","VGF15V-AG","CPR-WDK VGF15V-AG GFCI Deco Duplex 15A 125V AutoGrd IV"
"2851797","VGF15V-3","CPR-WDK VGF15V-3 GFCI Deco Duplex 15A 125V 3PK NoWlplt IV"
"2851796","VGF15V","CPR-WDK VGF15V GFCI Deco Duplex 15A 125V IV"
"2851795","VGF15LA-M","CPR-WDK VGF15LA-M GFCI Deco Duplex 15A 125V Mid Wlplt LA"
"2851794","VGF15LA","CPR-WDK VGF15LA GFCI Deco Duplex 15A 125V LA"
"2851793","VGF15GYM","CPR-WDK VGF15GYM GFCI Deco Duplex 15A 125V MOD GY"
"2851792","VGF15GY","CPR-WDK VGF15GY GFCI Deco Duplex 15A 125V GY"
"2851791","VGF15FW","CPR-WDK VGF15FW GFCI Deco Duplex 15A 125V WH NAFTA"
"2851790","VGF15FV","CPR-WDK VGF15FV GFCI Deco Duplex 15A 125V IV NAFTA"
"2851789","VGF15FRD","CPR-WDK VGF15FRD GFCI Deco Duplex 15A 125V RD NAFTA"
