id,catalog_number,chain_technical_data
396147,2052B24,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396196,2082A25,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396139,2080A20,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396155,2080A28,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396204,50B17SS,Pitch:0.625 in|Chain Size:50 
396163,2062A18,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
396127,60BTL18,Pitch:0.750 in|Chain Size:60 
396200,2082A17,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396159,2080A23,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396229,40SH30,Pitch:0.500 in|Chain Size:40 
396208,2040B12,Size:A2040/C2040 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.313 in
396233,2082B16,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396250,35B23SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394674,60B54F-1F,Pitch:0.750 in|Chain Size:60 
396258,60B16SS,Pitch:0.750 in|Chain Size:60 
396246,35B11SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396262,80B19F-1J,Pitch:1.000 in|Chain Size:80 
396242,35B16SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396295,35A80,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396270,25B40SS,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
396291,2060A20,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
396266,25B60SS,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
396303,2060B23,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
396299,2060B28,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
396319,41B14FJ,Pitch:0.500 in|Chain Size:41 
396307,2080B19,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396254,35B19SS,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396311,2080B15,Size:C2080/A2080 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :0.625 in
396323,50B19F-1B,Pitch:0.625 in|Chain Size:50 
396315,2082B11,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396359,T100B26,Pitch:1.250 in|Chain Size:100-3 
396343,T40B24,Pitch:0.500 in|Chain Size:40-3 
396225,25B16SS,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
394687,50B35SS,Pitch:0.625 in|Chain Size:50 
396351,T100B20,Pitch:1.250 in|Chain Size:100-3 
396335,2062B26,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
396347,80B19F-1D,Pitch:1.000 in|Chain Size:80 
394707,35B26FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394715,60B32F-1L,Pitch:0.750 in|Chain Size:60 
394703,35B26F-1C,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394719,60B21F-1D,Pitch:0.750 in|Chain Size:60 
394691,35B28F-1C,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394757,120F45,Pitch:1.500 in|Chain Size:120 
394731,35B14FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394753,35B17FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394699,100B27,Pitch:1.250 in|Chain Size:100 
394744,35B20FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394771,40B54FP,Pitch:0.500 in|Chain Size:40 
394748,80B20F-1D,Pitch:1.000 in|Chain Size:80 
394788,2050A30,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
394761,80B28F-1R,Pitch:1.000 in|Chain Size:80 
394776,35B42FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394800,35B54FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394792,40B10FL,Pitch:0.500 in|Chain Size:40 
394727,80B14F-1B,Pitch:1.000 in|Chain Size:80 
394739,35A22,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394814,35B32FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394805,40A26,Pitch:0.500 in|Chain Size:40 
394819,25A28,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
394767,35B48FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394796,40B10FJ,Pitch:0.500 in|Chain Size:40 
394823,60B14F-1C,Pitch:0.750 in|Chain Size:60 
394836,35B40F-1D,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394850,25A26,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
394846,35B40FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394859,200C28,Pitch:2.500 in|Chain Size:200 
394855,35B36FP,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394863,50B14FJ,Pitch:0.625 in|Chain Size:50 
394840,25A23,Pitch:0.250 in|Chain Size:25 |Inside Width :0.125 in|Roller Diameter :0.130 in
394875,180B15,Pitch:2.250 in|Chain Size:180 
396368,T60B15,Pitch:0.750 in|Chain Size:60-3 
394883,50B13FL,Pitch:0.625 in|Chain Size:50 
394871,60B28F-1F,Pitch:0.750 in|Chain Size:60 
396384,50B13FP,Pitch:0.625 in|Chain Size:50 
394867,50B15FL,Pitch:0.625 in|Chain Size:50 
394809,35B60F-1B,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396376,60B30SS,Pitch:0.750 in|Chain Size:60 
396372,T50B36,Pitch:0.625 in|Chain Size:50-3 
396394,T50B18,Pitch:0.625 in|Chain Size:50-3 
396442,60B20F-1J,Pitch:0.750 in|Chain Size:60 
396454,40B35F-1G,Pitch:0.500 in|Chain Size:40 
396410,D60B21,Pitch:0.750 in|Chain Size:60-2 
396450,D60B26,Pitch:0.750 in|Chain Size:60-2 
396426,D50B40,Pitch:0.625 in|Chain Size:50-2 
396471,2050A22,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
396402,D60B14,Pitch:0.750 in|Chain Size:60-2 
396414,60SH16,Pitch:0.750 in|Chain Size:60 
396475,35B11FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396418,D50B26,Pitch:0.625 in|Chain Size:50-2 
396507,2060A26,Size:A2060/C2060 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.469 in
