id,catalog_number,cad,type
123432,123961,https://mro-host.herokuapp.com/file_download/?name=baldor2d_123961_right.dxf,right
123432,123961,https://mro-host.herokuapp.com/file_download/?name=baldor2d_123961_top.dxf,top
128546,069370,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069370_front.dxf,front
128546,069370,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069370_right.dxf,right
128546,069370,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069370_top.dxf,top
126941,123585,https://mro-host.herokuapp.com/file_download/?name=baldor2d_123585_front.dxf,front
126941,123585,https://mro-host.herokuapp.com/file_download/?name=baldor2d_123585_right.dxf,right
126941,123585,https://mro-host.herokuapp.com/file_download/?name=baldor2d_123585_top.dxf,top
127436,129322,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129322_front.dxf,front
127436,129322,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129322_right.dxf,right
127436,129322,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129322_top.dxf,top
130623,071172,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071172_front.dxf,front
130623,071172,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071172_right.dxf,right
130623,071172,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071172_top.dxf,top
134047,071268,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071268_front.dxf,front
134047,071268,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071268_right.dxf,right
134047,071268,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071268_top.dxf,top
1291110,077194,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077194_front.dxf,front
1291110,077194,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077194_right.dxf,right
1291110,077194,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077194_top.dxf,top
791852,076021,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076021_front.dxf,front
791852,076021,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076021_right.dxf,right
791852,076021,https://mro-host.herokuapp.com/file_download/?name=baldor2d_076021_top.dxf,top
130867,131971,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131971_front.dxf,front
130867,131971,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131971_right.dxf,right
130867,131971,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131971_top.dxf,top
134222,125722,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125722_front.dxf,front
134222,125722,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125722_right.dxf,right
134222,125722,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125722_top.dxf,top
134245,071443,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071443_front.dxf,front
134245,071443,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071443_right.dxf,right
134245,071443,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071443_top.dxf,top
786657,072400,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072400_front.dxf,front
786657,072400,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072400_right.dxf,right
786657,072400,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072400_top.dxf,top
128901,070027,https://mro-host.herokuapp.com/file_download/?name=baldor2d_070027_front.dxf,front
128901,070027,https://mro-host.herokuapp.com/file_download/?name=baldor2d_070027_right.dxf,right
128901,070027,https://mro-host.herokuapp.com/file_download/?name=baldor2d_070027_top.dxf,top
127306,129310,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129310_front.dxf,front
127306,129310,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129310_right.dxf,right
127306,129310,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129310_top.dxf,top
122813,023400,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023400_front.dxf,front
122813,023400,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023400_right.dxf,right
122813,023400,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023400_top.dxf,top
130622,071189,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071189_front.dxf,front
130622,071189,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071189_right.dxf,right
130622,071189,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071189_top.dxf,top
122737,023344,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023344_front.dxf,front
122737,023344,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023344_right.dxf,right
122737,023344,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023344_top.dxf,top
122632,023024,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023024_front.dxf,front
122632,023024,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023024_right.dxf,right
122632,023024,https://mro-host.herokuapp.com/file_download/?name=baldor2d_023024_top.dxf,top
127392,136242,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136242_front.dxf,front
127392,136242,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136242_right.dxf,right
127392,136242,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136242_top.dxf,top
124822,033901,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033901_front.dxf,front
124822,033901,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033901_right.dxf,right
124822,033901,https://mro-host.herokuapp.com/file_download/?name=baldor2d_033901_top.dxf,top
128718,125969,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125969_front.dxf,front
128718,125969,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125969_right.dxf,right
128718,125969,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125969_top.dxf,top
132852,125546,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125546_front.dxf,front
132852,125546,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125546_right.dxf,right
132852,125546,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125546_top.dxf,top
124754,032957,https://mro-host.herokuapp.com/file_download/?name=baldor2d_032957_front.dxf,front
124754,032957,https://mro-host.herokuapp.com/file_download/?name=baldor2d_032957_right.dxf,right
124754,032957,https://mro-host.herokuapp.com/file_download/?name=baldor2d_032957_top.dxf,top
134157,127532,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127532_front.dxf,front
134157,127532,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127532_right.dxf,right
134157,127532,https://mro-host.herokuapp.com/file_download/?name=baldor2d_127532_top.dxf,top
131188,125698,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125698_front.dxf,front
131188,125698,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125698_right.dxf,right
131188,125698,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125698_top.dxf,top
128476,069476,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069476_front.dxf,front
128476,069476,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069476_right.dxf,right
128476,069476,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069476_top.dxf,top
133015,129152,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129152_front.dxf,front
133015,129152,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129152_right.dxf,right
133015,129152,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129152_top.dxf,top
125279,131977,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131977_front.dxf,front
125279,131977,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131977_right.dxf,right
125279,131977,https://mro-host.herokuapp.com/file_download/?name=baldor2d_131977_top.dxf,top
784023,068763,https://mro-host.herokuapp.com/file_download/?name=baldor2d_068763_front.dxf,front
784023,068763,https://mro-host.herokuapp.com/file_download/?name=baldor2d_068763_right.dxf,right
784023,068763,https://mro-host.herokuapp.com/file_download/?name=baldor2d_068763_top.dxf,top
1291213,077298,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077298_front.dxf,front
1291213,077298,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077298_right.dxf,right
1291213,077298,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077298_top.dxf,top
786496,072234,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072234_front.dxf,front
786496,072234,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072234_right.dxf,right
786496,072234,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072234_top.dxf,top
125184,124474,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124474_front.dxf,front
125184,124474,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124474_right.dxf,right
125184,124474,https://mro-host.herokuapp.com/file_download/?name=baldor2d_124474_top.dxf,top
786396,071916,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071916_front.dxf,front
786396,071916,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071916_right.dxf,right
786396,071916,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071916_top.dxf,top
128692,125907,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125907_front.dxf,front
128692,125907,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125907_right.dxf,right
128692,125907,https://mro-host.herokuapp.com/file_download/?name=baldor2d_125907_top.dxf,top
791397,136793,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136793_front.dxf,front
791397,136793,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136793_right.dxf,right
791397,136793,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136793_top.dxf,top
