id,catalog_number,key1,key2,description
2931171,4867.085.501.040h33,FXM8540SX*40MM,FXM,Ringspann 4867.085.501.040h33 FXM8540SX*40MM INTERNAL BACKSTOP
2931170,4867.085.501.035h33,FXM8540SX*35MM,FXM,Ringspann 4867.085.501.035h33 FXM8540SX*35MM INTERNAL BACKSTOP
2931169,4867.076.200.045h38,FXM7625DX*45MM,FXM,Ringspann 4867.076.200.045h38 FXM7625DX*45MM INTERNAL BACKSTOP
2931168,4867.076.200.040h33,FXM7625DX*40MM,FXM,Ringspann 4867.076.200.040h33 FXM7625DX*40MM INTERNAL BACKSTOP
2931167,4867.066.200.M00845,FXM6625DX*1.629,FXM,Ringspann 4867.066.200.M00845 FXM6625DX*1.629 INTERNAL BACKSTOP
2931166,4867.066.200.045h38,FXM6625DX*45MM,FXM,Ringspann 4867.066.200.045h38 FXM6625DX*45MM INTERNAL BACKSTOP
2931165,4867.066.200.040h33,FXM6625DX*40MM,FXM,Ringspann 4867.066.200.040h33 FXM6625DX*40MM INTERNAL BACKSTOP
2931164,4867.066.200.035h33,FXM6625DX*35MM,FXM,Ringspann 4867.066.200.035h33 FXM6625DX*35MM INTERNAL BACKSTOP
2931163,4867.061.200.035h33,FXM6119DX*35MM,FXM,Ringspann 4867.061.200.035h33 FXM6119DX*35MM INTERNAL BACKSTOP
2931162,4867.056.200.040h33,FXM5625DX*40MM,FXM,Ringspann 4867.056.200.040h33 FXM5625DX*40MM INTERNAL BACKSTOP
2931161,4867.056.200.035h33,FXM5625DX*35MM,FXM,Ringspann 4867.056.200.035h33 FXM5625DX*35MM INTERNAL BACKSTOP
2931160,4867.051.200.035h33,FXM5125DX*35MM,FXM,Ringspann 4867.051.200.035h33 FXM5125DX*35MM INTERNAL BACKSTOP
2931159,4867.051.200.025h33,FXM5125DX*25MM,FXM,Ringspann 4867.051.200.025h33 FXM5125DX*25MM INTERNAL BACKSTOP
2931158,4867.046.200.025h33,FXM4625DX*25MM,FXM,Ringspann 4867.046.200.025h33 FXM4625DX*25MM INTERNAL BACKSTOP
2931157,4867.038.200.025h20,FXM3817DX*25MM,FXM,Ringspann 4867.038.200.025h20 FXM3817DX*25MM INTERNAL BACKSTOP
2931156,4867.038.200.020h28,FXM3817DX*20MM,FXM,Ringspann 4867.038.200.020h28 FXM3817DX*20MM INTERNAL BACKSTOP
2931155,4867.031.200.020h28,FXM3117DX*20MM,FXM,Ringspann 4867.031.200.020h28 FXM3117DX*20MM INTERNAL BACKSTOP
2931154,4862.067.002.000000,RCD1012,RCD,Ringspann 4862.067.002.000000 RCD1012 BACKSTOP
2931153,4862.067.001.000000,RCD89,RCD,Ringspann 4862.067.001.000000 RCD89 BACKSTOP
2931152,4862.057.002.000000,RCD7,RCD,Ringspann 4862.057.002.000000 RCD7 BACKSTOP
2931151,4862.057.001.000000,RCD6,RCD,Ringspann 4862.057.001.000000 RCD6 BACKSTOP
2931150,4862.056.002.000000,RC210,RC,Ringspann 4862.056.002.000000 RC210 BACKSTOP
2931149,4862.046.002.000000,RC208,RC,Ringspann 4862.046.002.000000 RC208 BACKSTOP
2931148,4862.042.002.000000,RC207,RC,Ringspann 4862.042.002.000000 RC207 BACKSTOP
2931147,4862.032.002.000000,RC206,RC,Ringspann 4862.032.002.000000 RC206 BACKSTOP
2931146,4862.031.002.000000,RCD5,RCD,Ringspann 4862.031.002.000000 RCD5 BACKSTOP
2931145,4862.023.002.000000,RC205,RC,Ringspann 4862.023.002.000000 RC205 BACKSTOP
2931144,4862.022.001.000000,RCD4,RCD,Ringspann 4862.022.001.000000 RCD4 BACKSTOP
2931143,4862.018.001.000000,RCD3,RCD,Ringspann 4862.018.001.000000 RCD3 BACKSTOP
2931142,4861.107.102.080h31,FSN80R,FSN,Ringspann 4861.107.102.080h31 FSN80R CAM CLUTCH
2931141,4861.107.101.070h27,FSN70R,FSN,Ringspann 4861.107.101.070h27 FSN70R CAM CLUTCH
2931140,4861.082.101.060h23,FSN60R,FSN,Ringspann 4861.082.101.060h23 FSN60R CAM CLUTCH
2931139,4861.072.101.050h21,FSN50R,FSN,Ringspann 4861.072.101.050h21 FSN50R CAM CLUTCH
2931138,4861.061.103.045h21,FSN45R,FSN,Ringspann 4861.061.103.045h21 FSN45R CAM CLUTCH
2931137,4861.061.102.040h22,FSN40R,FSN,Ringspann 4861.061.102.040h22 FSN40R CAM CLUTCH
2931136,4861.049.102.035h24,FSN35R,FSN,Ringspann 4861.049.102.035h24 FSN35R CAM CLUTCH
2931135,4861.044.101.030h20,FSN30R,FSN,Ringspann 4861.044.101.030h20 FSN30R CAM CLUTCH
2931134,4861.037.112.025h20,FSN25R,FSN,Ringspann 4861.037.112.025h20 FSN25R CAM CLUTCH
2931133,4861.034.101.020h16,FSN20R,FSN,Ringspann 4861.034.101.020h16 FSN20R CAM CLUTCH
2931132,4861.029.103.017h12,FSN17R,FSN,Ringspann 4861.029.103.017h12 FSN17R CAM CLUTCH
2931131,4861.029.101.015h12,FSN15R,FSN,Ringspann 4861.029.101.015h12 FSN15R CAM CLUTCH
2931130,4861.019.102.012h18,FSN12R,FSN,Ringspann 4861.019.102.012h18 FSN12R CAM CLUTCH
2931129,4821.170.203.M00765,FRXG800*4,FRXG,Ringspann 4821.170.203.M00765 FRXG800*4 CAM CLUTCH
2931128,4821.170.203.M00763,FRXG800*3+34,FRXG,Ringspann 4821.170.203.M00763 FRXG800*3+34 CAM CLUTCH
2931127,4821.170.203.M00762,FRXG800*3+12,FRXG,Ringspann 4821.170.203.M00762 FRXG800*3+12 CAM CLUTCH
2931126,4821.170.110.M00799,FRSG900*5,FRSG,Ringspann 4821.170.110.M00799 FRSG900*5 CAM CLUTCH
2931125,4821.170.110.M00796,FRSG900*4+12,FRSG,Ringspann 4821.170.110.M00796 FRSG900*4+12 CAM CLUTCH
