id,catalog_number,factors
5070938,231/530YMBW33W45,e - ISO Factor:0.3 |Y0 - ISO Factor:2.27 |Y1 - ISO Factor:3.38 |Y2 - ISO Factor:2.22 |Reference Thermal Speed Rating (Grease):310 |Reference Thermal Speed Rating (Oil):340 |Cg - Geometry Factor:0.1109 
5070906,239/750YMBW509C08,e - ISO Factor:0.16 |Y0 - ISO Factor:4.23 |Y1 - ISO Factor:6.3 |Y2 - ISO Factor:4.14 |Reference Thermal Speed Rating (Grease):310 |Reference Thermal Speed Rating (Oil):350 |Cg - Geometry Factor:0.1329 
5070936,23184KYMBW25W507C08C2,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):480 |Cg - Geometry Factor:0.0957 
5070909,24096YMBW33W45C3,e - ISO Factor:0.28 |Y0 - ISO Factor:2.45 |Y1 - ISO Factor:3.64 |Y2 - ISO Factor:2.39 |Reference Thermal Speed Rating (Grease):370 |Reference Thermal Speed Rating (Oil):410 |Cg - Geometry Factor:0.1012 
5070901,23292KYMBW906AC3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.96 |Y1 - ISO Factor:2.93 |Y2 - ISO Factor:1.92 |Reference Thermal Speed Rating (Grease):290 |Reference Thermal Speed Rating (Oil):310 |Cg - Geometry Factor:0.1033 
5070904,23992YMBW507C08C3,e - ISO Factor:0.16 |Y0 - ISO Factor:4.14 |Y1 - ISO Factor:6.17 |Y2 - ISO Factor:4.05 |Reference Thermal Speed Rating (Grease):580 |Reference Thermal Speed Rating (Oil):680 |Cg - Geometry Factor:0.0975 
5071092,304K,Limiting Speed (Grease):8330 rpm|Limiting Speed (Oil):9720 rpm
5071240,2MM9106WI,Limiting Speed (Grease):25500 rpm|Limiting Speed (Oil):51000 rpm
5071288,2MM313WI,Limiting Speed (Grease):10500 rpm|Limiting Speed (Oil):21000 rpm
5071281,2MM311WI,Limiting Speed (Grease):12400 rpm|Limiting Speed (Oil):24800 rpm
5071260,2MM9113WI,Limiting Speed (Grease):12700 rpm|Limiting Speed (Oil):25400 rpm
5071276,2MM310WI,Limiting Speed (Grease):13600 rpm|Limiting Speed (Oil):27200 rpm
5071280,MM311K,Limiting Speed (Grease):12500 rpm|Limiting Speed (Oil):25000 rpm
5071287,MM313K,Limiting Speed (Grease):10700 rpm|Limiting Speed (Oil):21400 rpm
5071346,218K,Limiting Speed (Grease):2400 rpm|Limiting Speed (Oil):2800 rpm
5071283,MM312K,Limiting Speed (Grease):11500 rpm|Limiting Speed (Oil):23000 rpm
5071341,217K,Limiting Speed (Grease):2550 rpm|Limiting Speed (Oil):2980 rpm
5071335,7214WN,Limiting Speed (Grease):3080 rpm|Limiting Speed (Oil):4100 rpm
5071333,7213WN,Limiting Speed (Grease):3250 rpm|Limiting Speed (Oil):4340 rpm
5071343,217W,Limiting Speed (Grease):2130 rpm|Limiting Speed (Oil):2550 rpm
