id,catalog_number,abutment_and_fillet_dimensions
5061219,5305K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:31.120 mm 1.225 in|Da - Outer Ring Backing Diameter:54.100 mm 2.130 in"
5061233,7206WN,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:42.160 mm 1.660 in|Da - Outer Ring Backing Diameter:50.290 mm 1.980 in"
5061203,7211WN,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:61.200 mm 2.410 in|Da - Outer Ring Backing Diameter:93.500 mm 3.680 in"
5061221,5306K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:36.830 mm 1.450 in|Da - Outer Ring Backing Diameter:63.500 mm 2.500 in"
5061246,2MM212WI,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:69.300 mm 2.730 in|Da - Outer Ring Backing Diameter:101.400 mm 3.990 in"
5061226,5307K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:44.070 mm 1.735 in|Da - Outer Ring Backing Diameter:70.100 mm 2.760 in"
5061209,7205WN,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:29.000 mm 1.140 in|Da - Outer Ring Backing Diameter:46.000 mm 1.810 in"
5061239,7203W,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:23.410 mm 0.9215 in|Da - Outer Ring Backing Diameter:33.500 mm 1.319 in"
5061272,5309K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:56.010 mm 2.205 in|Da - Outer Ring Backing Diameter:88.770 mm 3.495 in"
5061282,5405W,"R - Inner Ring ""To Clear"" Radius:1.499 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.499 mm 0.059 in|da - Inner Ring Backing Diameter:49.555 mm 1.951 in|Da - Outer Ring Backing Diameter:71.323 mm 2.808 in"
