id,catalog_number,dxf
2208000,SD13050 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.dxf
2207972,B5435 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
2208020,4600 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.dxf
2208044,5600 EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
2208032,5625 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
2208060,A5835 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.dxf
2208282,STW3450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_STRATA.dxf
2208056,A5805 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.dxf
2208048,A5800 ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
2208036,A5800 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
2208258,82000 OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
2208378,D9405 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9305 OLPBW.dxf
2208286,TW7450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SERIES SW.dxf
2208294,TW7460 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SERIES SW.dxf
2208092,DP7450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
2208370,URD9200 OLBBW70,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208100,DP7800 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
2208096,DP7650 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
2208374,7600 OMS55,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
2208064,7400 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OXP TW.dxf
2208116,83050 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
2208104,81000 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
2208124,TW86075 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.dxf
2208140,FE9450 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208212,CA38106 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X106 X.dxf
2208216,H18006 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
2208200,TH86000 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH80000 OMP TW.dxf
2208136,FD9450 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208232,H18005 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
2208184,E9200 OMPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208220,5600 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
2208192,E9375 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208248,5635 ELSSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
2208292,TW7400 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SERIES SW.dxf
2208188,E9300 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208348,FSD13000 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.dxf
2208356,L55501233B,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5005 .dxf
2208224,D9400 OLBBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208260,83000 OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
2208316,DP5800 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
2208312,DP5635 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.dxf
773952,7800OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
2208364,UR7850 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
773944,D83000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D83000 TW.dxf
773948,83000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
2208372,RT835-OLPSM,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RTSM_2_INCH.dxf
2207981,B5835 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.dxf
