id,catalog_number,attributes
2208001,SD13050 OMP,"Part Number:SD13050 OMP |Series:SD |Weight (lbs):105 |Hose I.D. (in):3/4""|Hose O.D. (in):1.188 |Hose Length (ft):50|Pressure (psi):1250|Hose End (in):3/4 NPT(M)|Inlet (in):1 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567008613"
2208137,FE9300 OLPBW,"Part Number:FE9300 OLP|Series:F9000|Weight (lbs):115 |Hose I.D. (in):3/4""|Hose O.D. (in):1.188 |Hose Length (ft):50|Pressure (psi):500|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567003434"
2208029,5600 OHP,"Part Number:5600 OHP|Series:5000 |Weight (lbs):26|Hose I.D. (in):3/8""|Hose O.D. (in):.730|Hose Length (ft):25|Pressure (psi):5000|Hose End (in): |Inlet (in):1/4 NPT(F)|Reel Outlet (in):1/4 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567000907"
2793426,CA33118 M,"Part Number:CA33118 M |Series:30000|Weight (lbs):51|Hose I.D. (in):3/4""|Hose O.D. (in):1.188 |Hose Length (ft):175|Pressure (psi):3000|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567000389"
2793414,CA32106 M,"Part Number:CA32106 M |Series:30000|Weight (lbs):42|Hose I.D. (in):1/2""|Hose O.D. (in):.850|Hose Length (ft):100|Pressure (psi):3000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse:CA|UPC:699567000365"
2208133,FD9300 OLPBW,"Part Number:FD9300 OLP|Series:F9000|Weight (lbs):114 |Hose I.D. (in):3/4""|Hose O.D. (in):1.188 |Hose Length (ft):50|Pressure (psi):50|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):210 |Warehouse: |UPC:699567003397"
2793462,L 7050 104 X,Part Number:L 7050 104 X|Series:L7000|Weight (lbs):65|Cord Ending:Flying Lead|AWG:10|Cord/Cable Length (ft):50|Volts:600|Amps:20 |Conductors:4|Cord/Cable Included:Yes|Type:SEOOW|Warehouse: |UPC:699567007418
2208041,5430 EHP,"Part Number:5430 EHP|Series:5000 |Weight (lbs):38|Hose I.D. (in):1/4""|Hose O.D. (in):.580|Hose Length (ft):30|Pressure (psi):5000|Hose End (in):1/4 NPT(M)|Inlet (in):1/4 NPT(F)|Reel Outlet (in):1/4 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567001072"
2208065,7450 EHP,"Part Number:7450 EHP|Series:7000 |Weight (lbs):72|Hose I.D. (in):1/4""|Hose O.D. (in):.580|Hose Length (ft):50|Pressure (psi):5000|Hose End (in):1/4 NPT(M)|Inlet (in):1/2 NPT(F)|Reel Outlet (in):3/8 NPT(F)|Hose Included:Yes|Max Temperature (F):210 |Warehouse: |UPC:699567001270"
2793470,L 7000,Part Number:L 7000|Series:L7000|Weight (lbs):41|Cord Ending:Bare Reel|AWG:6 |Cord/Cable Length (ft):35|Volts:220|Amps:45 |Conductors:4|Cord/Cable Included:No|Type:SOOW |Warehouse:IN|UPC:699567002277
