id,catalog_number,dxf
2208380,E9400 OMPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208312,DP5635 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
773952,7800OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
2208372,RT835-OLPSM,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RTSM_2_INCH.igs
773944,D83000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D83000 TW.igs
773948,83000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773541,A5835OLBSW23,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2207981,B5835 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.igs
2208009,SD14050 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14005 OXP.igs
2208005,SD14005 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14005 OXP.igs
2208025,5400 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208049,A5800 EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208057,A5805 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.igs
2208121,TW84000 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.igs
2208093,DP7600 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2208141,FF9500 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_FF9500 OLPBW.igs
2208013,UR7925 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
2208109,82000 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
