dxf,pdf,igs,catalog_number,ids
https://www.reelcraft.com/images/drawings/TW800001.zip,https://www.reelcraft.com/images/drawings/TW800002.zip,https://www.reelcraft.com/images/drawings/TW800003.zip,TW84000OLPT,773449
,,,8-260044,773269
,,,S602133-3U,773285
,,,S600693-2U,773277
https://www.reelcraft.com/images/drawings/H16000-1.zip,https://www.reelcraft.com/images/drawings/H16000-2.pdf,https://www.reelcraft.com/images/drawings/H16000-3.zip,H18006M,773485
,,,S602132-5,773301
,,,27-260043,773313
,,,46-260043,773329
,,,S600533-3,773341
,,,25-260044,773321
,,,S600692-5,773353
,,,26-260044,773325
,,,S602132-1,773365
,,,S600693-4,773357
,,,22-260043,773257
,,,23-260044,773337
,,,601027-5,773249
,,,TW5425OLPT,773457
,,,5-260044,773465
,,,T-1535-123-100,773549
https://www.reelcraft.com/images/drawings/7000OXP1.zip,https://www.reelcraft.com/images/drawings/7000OXP2.zip,https://www.reelcraft.com/images/drawings/7000OXP3.zip,7600OLB,773545
,,,S602132-5U,773297
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT802-OMP,773581
,,,601026-75,773481
,,,S602133-1U,773361
,,,EA33118M10AX,773641
,,,EA33118L12D,773657
,,,EA32106M10A,773645
https://www.reelcraft.com/images/drawings/3X128DXF.zip,https://www.reelcraft.com/images/drawings/3X128PDF.pdf,https://www.reelcraft.com/images/drawings/3X128IGS.zip,CA32128L,773689
,,,TW5400OLP,773525
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,A5825OLP,773721
,,,8-260043,773489
,,,EA32106L10A,773661
https://www.reelcraft.com/images/drawings/A5005DXF.zip,https://www.reelcraft.com/images/drawings/A5005PDF.pdf,https://www.reelcraft.com/images/drawings/A5005IGS.zip,A5835OLP,773737
,,,EA32128L12D,773665
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,A5800EMP,773709
,,,D8650OHP,773775
,,,D8840OMP,773779
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,5600EMP,773713
,,,601017-70,773477
https://www.reelcraft.com/images/drawings/5000-DXF.zip,https://www.reelcraft.com/images/drawings/5000-PDF.zip,https://www.reelcraft.com/images/drawings/5000-IGS.zip,A5800OLP,773729
https://www.reelcraft.com/images/drawings/7000OHP1.zip,https://www.reelcraft.com/images/drawings/7000OHP2.zip,https://www.reelcraft.com/images/drawings/7000OHP3.zip,7400OHP,773767
,,,E8850OLP,773783
https://www.reelcraft.com/images/drawings/80000DXF.zip,https://www.reelcraft.com/images/drawings/80000PDF.zip,https://www.reelcraft.com/images/drawings/80000IGS.zip,F83000OLP,773807
https://www.reelcraft.com/images/drawings/80000DXF.zip,https://www.reelcraft.com/images/drawings/80000PDF.zip,https://www.reelcraft.com/images/drawings/80000IGS.zip,82000OMP,773811
,,,7800ELP,773750
https://www.reelcraft.com/images/drawings/5000EDXF.zip,https://www.reelcraft.com/images/drawings/5000EPDF.pdf,https://www.reelcraft.com/images/drawings/5000EIGS.zip,5450ELP,773717
https://www.reelcraft.com/images/drawings/80000DXF.zip,https://www.reelcraft.com/images/drawings/80000PDF.zip,https://www.reelcraft.com/images/drawings/80000IGS.zip,83050OLP,773803
,,,D8600OLP,773787
https://www.reelcraft.com/images/drawings/D83000-1.zip,https://www.reelcraft.com/images/drawings/D83000-2.zip,https://www.reelcraft.com/images/drawings/D83000-3.zip,D83075OLP,773860
,,,E8600OHP,773791
,,,7650ELP,773754
https://www.reelcraft.com/images/drawings/H16000-1.zip,https://www.reelcraft.com/images/drawings/H16000-2.pdf,https://www.reelcraft.com/images/drawings/H16000-3.zip,H18005M,773904
https://www.reelcraft.com/images/drawings/TH7000-1.zip,https://www.reelcraft.com/images/drawings/TH7000-2.zip,https://www.reelcraft.com/images/drawings/TH7000-3.zip,TH7445OMP,773924
,,,H26000 M,2208235
,,,AA36112 L4A,2208279
,,,4-HS1005,2208327
https://www.reelcraft.com/images/drawings/LP800001.zip,https://www.reelcraft.com/images/drawings/LP800002.zip,https://www.reelcraft.com/images/drawings/LP800003.zip,LP83000OLS,773819
https://www.reelcraft.com/images/drawings/DP7000-1.zip,https://www.reelcraft.com/images/drawings/DP7000-2.zip,https://www.reelcraft.com/images/drawings/DP7000-3.zip,DP7650OHP,773884
,,,TH5425OMP,773920
,,,TW5400OLPT,773451
https://www.reelcraft.com/images/drawings/H16000-1.zip,https://www.reelcraft.com/images/drawings/H16000-2.pdf,https://www.reelcraft.com/images/drawings/H16000-3.zip,HS18000M,773896
https://www.reelcraft.com/images/drawings/L5700DXF.zip,https://www.reelcraft.com/images/drawings/L5700PDF.pdf,https://www.reelcraft.com/images/drawings/L5700IGS.zip,L5700,773439
,,,S600533-5U,2208359
,,,S600533-3U,773287
,,,15-260043,773319
,,,S600693-5U,773299
,,,4-260043,773327
,,,3-260044,773323
,,,S600533-1,773339
,,,S600693-2,773355
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L40351631,773411
,,,S600533-1U,773363
