id,description,item_code,ordering_number
"2565531","Flexco 56507 FGPW-48/1219 RPL POLE","56507","FGPW-48/1219"
"2565530","Flexco 56506 FGPW-42/1067 RPL POLE","56506","FGPW-42/1067"
"2565529","Flexco 56505 FGPW-36/914 RPL POLE","56505","FGPW-36/914"
"2565528","Flexco 56504 FGP-30/762 RPL POLE","56504","FGP-30/762"
"2565527","Flexco 56503 FGP-24/610 RPL POLE","56503","FGP-24/610"
"2565526","Flexco 56502 FGTS-60/1500 RPL SPRG","56502","FGTS-60/1500"
"2565525","Flexco 56501 FGTS-36/900 RPL SPRG","56501","FGTS-36/900"
"2565524","Flexco 56500 FGTS-20/500 RPL SPRG","56500","FGTS-20/500"
"2565523","Flexco 56035 FGP-MD3-60 FD GR PRCL MTL DTCT","56035","FGP-MD3-60"
"2565522","Flexco 56034 FGP-MD3-54 FD GR PRCL MTL DTCT","56034","FGP-MD3-54"
"2565521","Flexco 56033 FGP-MD3-48 FD GR PRCL MTL DTCT","56033","FGP-MD3-48"
"2565520","Flexco 56032 FGP-MD3-42 FD GR PRCL MTL DTCT","56032","FGP-MD3-42"
"2565519","Flexco 56031 FGP-MD3-36 FD GR PRCL MTL DTCT","56031","FGP-MD3-36"
"2565518","Flexco 56030 FGP-MD3-30 FD GR PRCL MTL DTCT","56030","FGP-MD3-30"
"2565517","Flexco 56029 FGP-MD3-24 FD GR PRCL MTL DTCT","56029","FGP-MD3-24"
"2565516","Flexco 56028 FGP-MD3-18 FD GR PRCL MTL DTCT","56028","FGP-MD3-18"
"2565515","Flexco 56027 FGP-MD3-12 FD GR PRCL MTL DTCT","56027","FGP-MD3-12"
"2565514","Flexco 56017 FGP-W3-60 FOOD GR PRCL WHT","56017","FGP-W3-60"
"2565513","Flexco 56016 FGP-W3-54 FOOD GR PRCL WHT","56016","FGP-W3-54"
"2565512","Flexco 56015 FGP-W3-48 FOOD GR PRCL WHT","56015","FGP-W3-48"
