id,catalog_number,additional_description
2936587,SS09534,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936607,14MPCC336037,14MPCC-3360-37
2936611,14MPCC2590125,14MPCC-2590-125
2936615,14MPCC175020,14MPCC-1750-20
2936635,SS110118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936639,SS09558,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936631,8MPCC220062,8MPCC-2200-62
2936647,SS110158,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936691,14MPCC266090,14MPCC-2660-90
2936711,14MPCC99437,14MPCC-994-37
2936735,14MPCC1400125,14MPCC-1400-125
2936755,14MPCC350068,14MPCC-3500-68
2936763,8MPCC280036,8MPCC-2800-36
2936743,14MPCC231020,14MPCC-2310-20
2936787,8MPCC224021,8MPCC-2240-21
2936799,8MPCC320062,8MPCC-3200-62
2936827,14MPCC196020,14MPCC-1960-20
2936855,8MPCC448062,8MPCC-4480-62
2936839,14MPCC330468,14MPCC-3304-68
2936847,L09022MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936871,14MPCC266068,14MPCC-2660-68
2936879,14MPCC392020,14MPCC-3920-20
2936911,8MPCC72012,8MPCC-720-12
2936919,14MPCC238068,14MPCC-2380-68
2936923,8MPCC224062,8MPCC-2240-62
2936935,SS150138,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936951,14MPCC252090,14MPCC-2520-90
2936947,AL05038NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
