catalog_number,industry_crossover_numbers,id
20208,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02660-08</td>
    </tr>

        <tr>
        <td>1260x8</td>
    </tr>

        <tr>
        <td>260-P-08</td>
    </tr>

        <tr>
        <td>260P08</td>
    </tr>

        <tr>
        <td>260PF-8</td>
    </tr>

        <tr>
        <td>60P-8</td>
    </tr>

        <tr>
        <td>60PF-8</td>
    </tr>

        <tr>
        <td>60PF8</td>
    </tr>

        <tr>
        <td>F260-8</td>
    </tr>

        <tr>
        <td>MP60-8</td>
    </tr>

        <tr>
        <td>PG60F</td>
    </tr>

    </table>",2530452
20380,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02760-02</td>
    </tr>

        <tr>
        <td>1260x2B</td>
    </tr>

        <tr>
        <td>260-UB-02</td>
    </tr>

        <tr>
        <td>260PFB-2</td>
    </tr>

        <tr>
        <td>260UB02</td>
    </tr>

        <tr>
        <td>60PB-2</td>
    </tr>

        <tr>
        <td>60PFB-2</td>
    </tr>

        <tr>
        <td>FB260-2</td>
    </tr>

    </table>",2530457
20207,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02660-06</td>
    </tr>

        <tr>
        <td>1260x6</td>
    </tr>

        <tr>
        <td>260-P-06</td>
    </tr>

        <tr>
        <td>260P06</td>
    </tr>

        <tr>
        <td>260PF-6</td>
    </tr>

        <tr>
        <td>60P-6</td>
    </tr>

        <tr>
        <td>60PF-6</td>
    </tr>

        <tr>
        <td>F260-6</td>
    </tr>

        <tr>
        <td>MP60-6</td>
    </tr>

        <tr>
        <td>PG60E</td>
    </tr>

    </table>",2530451
20206,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02660-05</td>
    </tr>

        <tr>
        <td>1260x5</td>
    </tr>

        <tr>
        <td>260-P-05</td>
    </tr>

        <tr>
        <td>260P05</td>
    </tr>

        <tr>
        <td>260PF-5</td>
    </tr>

        <tr>
        <td>60P-5</td>
    </tr>

        <tr>
        <td>60PF-5</td>
    </tr>

        <tr>
        <td>F260-5</td>
    </tr>

        <tr>
        <td>MP60-5</td>
    </tr>

        <tr>
        <td>PG60D</td>
    </tr>

    </table>",2530450
20205,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02660-04</td>
    </tr>

        <tr>
        <td>1260x4</td>
    </tr>

        <tr>
        <td>260-P-04</td>
    </tr>

        <tr>
        <td>260P04</td>
    </tr>

        <tr>
        <td>260PF-4</td>
    </tr>

        <tr>
        <td>60P-4</td>
    </tr>

        <tr>
        <td>60PF-4</td>
    </tr>

        <tr>
        <td>60PF4</td>
    </tr>

        <tr>
        <td>F260-4</td>
    </tr>

        <tr>
        <td>MP60-4</td>
    </tr>

        <tr>
        <td>PG60C</td>
    </tr>

    </table>",2530449
20204,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02659-08</td>
    </tr>

        <tr>
        <td>259-P-08</td>
    </tr>

        <tr>
        <td>259P08</td>
    </tr>

        <tr>
        <td>59P-8</td>
    </tr>

        <tr>
        <td>59PF-8</td>
    </tr>

        <tr>
        <td>F259-8</td>
    </tr>

        <tr>
        <td>MP59-8</td>
    </tr>

    </table>",2530448
20203,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02659-06</td>
    </tr>

        <tr>
        <td>1229X6P</td>
    </tr>

        <tr>
        <td>259-P-06</td>
    </tr>

        <tr>
        <td>259P06</td>
    </tr>

        <tr>
        <td>59P-6</td>
    </tr>

        <tr>
        <td>59PF-6</td>
    </tr>

        <tr>
        <td>F259-6</td>
    </tr>

        <tr>
        <td>MP59-6</td>
    </tr>

    </table>",2530447
20201,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02659-04</td>
    </tr>

        <tr>
        <td>1229X4P</td>
    </tr>

        <tr>
        <td>259-P-04</td>
    </tr>

        <tr>
        <td>259P04</td>
    </tr>

        <tr>
        <td>59P-4</td>
    </tr>

        <tr>
        <td>59PF-4</td>
    </tr>

        <tr>
        <td>F259-4</td>
    </tr>

        <tr>
        <td>MP59-4</td>
    </tr>

    </table>",2530446
56247,blank value,2534220
56245,blank value,2534218
56243,blank value,2534216
56244,blank value,2534217
56246,blank value,2534219
20038N,blank value,2530751
20037N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32156018</td>
    </tr>

    </table>",2530750
20035N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32155614</td>
    </tr>

    </table>",2530748
20034N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32155611</td>
    </tr>

    </table>",2530747
20036N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32156014</td>
    </tr>

    </table>",2530749
20032N,blank value,2530746
28035,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06201-08</td>
    </tr>

        <tr>
        <td>101-D</td>
    </tr>

        <tr>
        <td>101AF-D</td>
    </tr>

        <tr>
        <td>101B08</td>
    </tr>

        <tr>
        <td>101F</td>
    </tr>

        <tr>
        <td>101F-8</td>
    </tr>

        <tr>
        <td>109F-8</td>
    </tr>

        <tr>
        <td>1203P-8</td>
    </tr>

        <tr>
        <td>T7-888</td>
    </tr>

    </table>",2528292
28023,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>100-45A-C</td>
    </tr>

    </table>",2528283
28036,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06201-12</td>
    </tr>

        <tr>
        <td>101-E</td>
    </tr>

        <tr>
        <td>101AF-E</td>
    </tr>

        <tr>
        <td>101F-12</td>
    </tr>

        <tr>
        <td>101J</td>
    </tr>

        <tr>
        <td>109F-12</td>
    </tr>

        <tr>
        <td>T7-121212</td>
    </tr>

    </table>",2528293
28032,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06201-02</td>
    </tr>

        <tr>
        <td>101-A</td>
    </tr>

        <tr>
        <td>101A</td>
    </tr>

        <tr>
        <td>101AF-A</td>
    </tr>

        <tr>
        <td>101B02</td>
    </tr>

        <tr>
        <td>101F-2</td>
    </tr>

        <tr>
        <td>109F-2</td>
    </tr>

        <tr>
        <td>1203P-2</td>
    </tr>

        <tr>
        <td>PF1203-2</td>
    </tr>

        <tr>
        <td>T7-222</td>
    </tr>

    </table>",2528289
28034,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06201-06</td>
    </tr>

        <tr>
        <td>101-C</td>
    </tr>

        <tr>
        <td>101AF-C</td>
    </tr>

        <tr>
        <td>101B06</td>
    </tr>

        <tr>
        <td>101E</td>
    </tr>

        <tr>
        <td>101F-6</td>
    </tr>

        <tr>
        <td>109F-6</td>
    </tr>

        <tr>
        <td>T7-666</td>
    </tr>

    </table>",2528291
28033,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>06201-04</td>
    </tr>

        <tr>
        <td>101-B</td>
    </tr>

        <tr>
        <td>101AF-B</td>
    </tr>

        <tr>
        <td>101B04</td>
    </tr>

        <tr>
        <td>101C</td>
    </tr>

        <tr>
        <td>101F-4</td>
    </tr>

        <tr>
        <td>109F-4</td>
    </tr>

        <tr>
        <td>1203P-4</td>
    </tr>

        <tr>
        <td>LT7-444</td>
    </tr>

    </table>",2528290
18205,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>00068-1416</td>
    </tr>

        <tr>
        <td>68 7/8 x 1</td>
    </tr>

        <tr>
        <td>68-14-16</td>
    </tr>

        <tr>
        <td>68-1416</td>
    </tr>

        <tr>
        <td>68A-14F</td>
    </tr>

        <tr>
        <td>68MN</td>
    </tr>

        <tr>
        <td>S68-14-16</td>
    </tr>

    </table>",2530141
63684,blank value,2533830
20031N,blank value,2530745
20030N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32046200</td>
    </tr>

    </table>",2530744
20028N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32045600</td>
    </tr>

    </table>",2530742
20029N,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>32046000</td>
    </tr>

    </table>",2530743
18302,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>00072-1208</td>
    </tr>

        <tr>
        <td>272x12</td>
    </tr>

        <tr>
        <td>72-128</td>
    </tr>

        <tr>
        <td>72-12D</td>
    </tr>

        <tr>
        <td>72A-12D</td>
    </tr>

        <tr>
        <td>72J</td>
    </tr>

    </table>",2530210
