id;catalog_number;description;add_descr;attributes
2887464;DC36-48-4S6DS-5295;Durham DC36-48-4S6DS-5295 DDC 36X24X72 48B 4S 6DS KH 95;nan;nan
2887468;DC36-642S6DS-5295;Durham DC36-642S6DS-5295 DDC 36X24X72 64B #52 2S 6DS KH 95;nan;nan
2887472;DC48-114-6DS-5295;Durham DC48-114-6DS-5295 DDC 48X24X72 114B 2S 6DS KH #52 BLUE BINS 95;nan;nan
2887476;DC48-128-4S-95;Durham DC48-128-4S-95 DDC 48X24X72 128B 4S KH 95;nan;nan
2887480;DC-482472-BDLP-95;Durham DC-482472-BDLP-95 DDC 48X24X72 BDLP KH 95;nan;nan
2887484;DC48-724S6DS-5295;Durham DC48-724S6DS-5295 DDC 48X24X72 72B #52 4S 6DS KH 95;nan;nan
2887488;DC48-842S6DS-95;Durham DC48-842S6DS-95 DDC 48X24X72 84B 2S 6DS KH 95;nan;nan
2887492;DCBDLP524RDR-1795;Durham DCBDLP524RDR-1795 DDC 36X24X72 52B #17 1S 4D 12DS KH 95;nan;nan
2887496;DCBDLP584RDR-5295;Durham DCBDLP584RDR-5295 DDC 36X24X72 58B #52 1S 4D 12DS KH 95;nan;nan
2887500;DCBDLP694RDR-95;Durham DCBDLP694RDR-95 DDC 48X24X72 69B 1S 4D 12DS KH 95;nan;nan
2887504;DC-DLP-96-4S-1795;Durham DC-DLP-96-4S-1795 DDC 36X24X72 96B #17 4S KH 95;nan;nan
2887508;DWB-3048-95;Durham DWB-3048-95 DUR WK BCH 30X48X34 12GA. TOP #95 GRAY;nan;nan
2887512;DWB-3060-BE-RSR-95;Durham DWB-3060-BE-RSR-95 DUR WK BCH 30X60 BE RSR #95 GRAY;nan;nan
2887520;DWBM-3060-BE-LP-95;Durham DWBM-3060-BE-LP-95 MOB DUR WK BCH 30X60 BE LP #95 GRAY;nan;nan
2887524;DWBM-3660-BE-95;Durham DWBM-3660-BE-95 MOB DUR WK BCH 36X60 BE #95 GRAY;nan;nan
2887528;EAS-2436-95;Durham EAS-2436-95 2SC 24X36 1.2K SH TLD 5PU RS 95;nan;nan
2887532;EGCC8-50;Durham EGCC8-50 ECON GAS CYL CAB 8CYL #50 YELLOW;nan;nan
2887536;EGCVC4-50;Durham EGCVC4-50 ECON GAS CYL CAB VERT 4 CYL #50 YELLOW;nan;nan
2887540;EMDC-2602-HDL-BLP-95;Durham EMDC-2602-HDL-BLP-95 CVC 16GA 18X36X72 HDL BLP PH 4S 95;nan;nan
2887544;EMDC361845B1795;Durham EMDC361845B1795 CVC 36X18X72 45B #17 KH 95;nan;nan
2887548;EMDC-361860-95;Durham EMDC-361860-95 CVC 36X18X60 3S KH 95;nan;nan
2887552;EMDC-361872-30B-1795;Durham EMDC-361872-30B-1795 CVC 36X18X72 BLP 30B#17 KH 95;nan;nan
2887556;EMDC-361884-95;Durham EMDC-361884-95 CVC 36X18X84 4S KH 95;nan;nan
2887560;EMDC-362442-95;Durham EMDC-362442-95 CVC 36X24X42 2S KH 95;nan;nan
2887564;EMDC-362472-30B-1795;Durham EMDC-362472-30B-1795 CVC 36X24X72 BLP 30B #17 KH 95;nan;nan
2887568;EMDC-362472-95;Durham EMDC-362472-95 CVC 36X24X72 3S KH 95;nan;nan
2887572;EMDC-481872-24B-2S-5295;Durham EMDC-481872-24B-2S-5295 CVC 48X18X72 BLP 24B 2S #52 KH 95;nan;nan
2887576;EMDC-481872-42B-95;Durham EMDC-481872-42B-95 CVC 48X18X72 BLP 42B KH 95;nan;nan
2887580;EMDC-481872-95;Durham EMDC-481872-95 CVC 48X18X72 3S KH 95;nan;nan
2887584;EMDC-482472-42B-1795;Durham EMDC-482472-42B-1795 CVC 48X24X72 BLP 42B #17 KH 95;nan;nan
2887588;EMDC-482472-6B-3S-5295;Durham EMDC-482472-6B-3S-5295 CVC 48X24X72 BLP 6B #52 3S KH 95;nan;nan
2887592;EPT-2448-95;Durham EPT-2448-95 STEEL PLATFORM TRUCK 24X48 #95 GRAY;nan;nan
2887596;EX-3060-2SC-6PH-95;Durham EX-3060-2SC-6PH-95 MSH STCK TRK 4 ADJ SH 30X60 6^PH #95;nan;nan
2887600;FDC-SH-4818-95;Durham FDC-SH-4818-95 16 3/8^ X 47 1/2^ .071 ADJ SHELF #95 GRAY;nan;nan
2887604;FDC-SH-7218-95;Durham FDC-SH-7218-95 16 3/8^ X 71 1/2^ .071 ADJ SHELF #95 GRAY;nan;nan
2887608;FS-SH-2930;Durham FS-SH-2930 FSC GAL SH 29^ X 30-9/16^ .055^;nan;nan
2887612;H1070;Durham H1070 PDLK HANDLE 4 1/2^ SHANK H-P7304-ZN-BM;nan;nan
2887616;H1240;Durham H1240 FSCFLUSH LATCH HANDLE AND LOCK(PH-CFT-AA-DP);nan;nan
2887620;H1339;Durham H1339 FLSH LATCH BAIL HDL CH751 7/8^ SHFT H-RFL-MR-D;nan;nan
2887624;H1345;Durham H1345 LOCK ROD SET 22.25^ R-SDB22.25S;nan;nan
2887632;H625;Durham H625 HLR CAB HARDWARE;nan;nan
2887636;HC1126R;Durham HC1126R 8 FULL PNEUMATIC RIGID NO ZERK IN WHEEL;nan;nan
2887640;HC1151S;Durham HC1151S 6 X 2 PHENOLIC SWIVEL 1200# CAP;nan;nan
2887644;HC1205W;Durham HC1205W 12 X 3 PHENOLIC WHEELS 3500# CAP;nan;nan
2887648;HDC-202436-2S95;Durham HDC-202436-2S95 12G-HDC COUNTER TOP 20X24X36 2S CH 95;nan;nan
2887652;HDC-243636-2S95;Durham HDC-243636-2S95 12G-HDC COUNTER TOP 24X36X36 2S CH 95;nan;nan
2887656;HDC-244842-2S95;Durham HDC-244842-2S95 12G-HDC COUNTER TOP 24X48X42 2S CH 95;nan;nan
2887660;HDC-246078-4S95;Durham HDC-246078-4S95 12G-HDC STORAGE 24X60X78 4S 6^BA CH 95;nan;nan
2887664;HDC36-102-3S5295;Durham HDC36-102-3S5295 12G-HDC BDLP 24X36X78 102B #52 3S 6^BA CH 95;nan;nan
2887668;HDC36-108-3S95;Durham HDC36-108-3S95 12G-HDC BDLP 24X36X78 108B 3S 6^BA CH 95;nan;nan
2887672;HDC36-126PB240-95;Durham HDC36-126PB240-95 12G-HDC BDLP 24X36X78 126B 6^BA CH 95;nan;nan
2887676;HDC36-60-2S6D95;Durham HDC36-60-2S6D95 12G-HDC BDLP 24X36X78 60B 2S 6DS 6^BA CH 95;nan;nan
2887684;HDC48-134-3S5295;Durham HDC48-134-3S5295 12G-HDC BDLP 24X48X78 134B #52 3S 6^BA CH 95;nan;nan
2887688;HDC48-162-95;Durham HDC48-162-95 12G-HDC BDLP 24X48X78 162B 6^BA CH 95;nan;nan
2887692;HDC48-84-2S6D95;Durham HDC48-84-2S6D95 12G-HDC BDLP 24X48X78 84B 2S 6DS 6^BA CH 95;nan;nan
2887696;HDC60-198-1795;Durham HDC60-198-1795 12G-HDC BDLP 24X60X78 198B #17 6^BA CH 955;nan;nan
2887704;HDC72-240-5295;Durham HDC72-240-5295 12G-HDC BDLP 24X72X78 240B #52 6^BA CH 95;nan;nan
2887708;HDCC203642-2S95;Durham HDCC203642-2S95 12G-HDC COUNTER TOP CV 20X36X42 2S CH 95;nan;nan
2887712;HDCC244866-3S95;Durham HDCC244866-3S95 12G-HDC CLEARVIEW 24X48X66 3S 6^BA CH 95;nan;nan
2887716;HDCD243678-3B95;Durham HDCD243678-3B95 12G-HDC 3DR BTM 24X36X78 4S 6^BA CH 95;nan;nan
2887720;HDCD244878-6B95;Durham HDCD244878-6B95 12G-HDC 6DR BTM 24X48X78 4S 6^BA CH 95;nan;nan
2887724;HDCM36-12-2S5295;Durham HDCM36-12-2S5295 12G-HDC STORAGE 24X36X80 MOBILE BLP 12B #52 2S CH 6PH RS SB 95;nan;nan
2887728;HDCM36-30-95;Durham HDCM36-30-95 12G-HDC STORAGE 24X36X80 MOBILE BLP 30B CH 6PH RS SB 95;nan;nan
2887732;HDCM48-18-2S95;Durham HDCM48-18-2S95 12G-HDC STORAGE 24X48X80 MOBILE BLP 18B 2S CH 6PH RS SB 95;nan;nan
2887736;HDCM48-4S-95;Durham HDCM48-4S-95 12G-HDC STORAGE 24X48X80 MOBILE BLP4S CH 6PH RS SB 95;nan;nan
2887740;HDCP243678-4S95;Durham HDCP243678-4S95 12G-HDC PEGBOARD 24X36X78 4S 6^BA CH 95;nan;nan
2887744;HDC-SH-1848-95;Durham HDC-SH-1848-95 HDC CAB SHELF 15 27/32^ X 45 15/16^ #95 GRAY;nan;nan
2887748;HDC-SH-2036-95;Durham HDC-SH-2036-95 HDC CAB SHELF 16 27/32^ X 33 15/16^ #95 GRAY;nan;nan
