id,catalog_number,description,main_image
2071745,GSTC35,"DIXON GSTC35 GLOBAL 3\ KING NIPPLE PLATED""",
2071744,GSTC30,"DIXON GSTC30 GLOBAL 2 1/2\ KING NIPPLE PLATED""",
2071743,GSTC25,"DIXON GSTC25 GLOBAL 2\ KING NIPPLE PLATED""",
2071742,GSTC20,"DIXON GSTC20 GLOBAL 1 1/2\ KING NIPPLE PLATED""",
2071741,GSTC15,"DIXON GSTC15 GLOBAL 1 1/4\ KING NIPPLE PLATED""",
2071740,GSTC10,"DIXON GSTC10 GLOBAL 1\ KING NIPPLE PLATED""",
2071739,GSTC1,"DIXON GSTC1 GLOBAL 1/2\ KING NIPPLE PLATED""",
2071738,GIBFV800,"DIXON GIBFV800 8\ GROOVED END IRON BUTTERFLY VALVE EPDM SEALS""",
2071737,GIBFV600,"DIXON GIBFV600 6\ GROOVED END IRON BUTTERFLY VALVE EPDM SEALS""",
2071736,GIBFV400,"DIXON GIBFV400 4\ GROOVED END IRON BUTTERFLY VALVE EPDM SEALS""",
2071735,GIBFV300,"DIXON GIBFV300 3\ GROOVED END IRON BUTTERFLY VALVE EPDM SEALS""",
2071734,GIBFV250,DIXON GIBFV250 2 1/2 GROOVED END IRON BUTTERFLY VALVE EPDM SEALS,
2071727,G600-E-SSCR,"DIXON G600-E-SSCR 6\ Global 316 Investment SS Type E Machined Shank Crimp Style""",
2071726,G600-E-ALCR,"DIXON G600-E-ALCR 6\ Global Aluminum Type E Machined Shank Crimp Style""",
2071725,G600-C-SSCR,"DIXON G600-C-SSCR 6\ Global 316 Investment SS Type C Machined Shank Crimp Style""",
2071724,G600-C-ALCR,"DIXON G600-C-ALCR 6\ Global Alum Type C Machine Shank Crimp Style""",
2071697,G3050,DIXON G3050 STATIC GROUNDING REEL,
2071690,G300-AA-SS,"DIXON G300-AA-SS 3\ 316SS Investment Cast Spool Adapter""",
2071689,G250-F-ALNST,"DIXON G250-F-ALNST 2-1/2\ GLOBAL AL MNST X ADAPTER""",
2071688,G250-D-ALNST,"DIXON G250-D-ALNST 2 1/2\ GLOBAL ALUM FEMALE COUPLER X FNST WITH BRASS HANDLES""",
2071687,G250-B-ALNST,"DIXON G250-B-ALNST 2-1/2\ GLOBAL ALUM MNST X COUPLER""",
2071686,G250-A-ALNST,"DIXON G250-A-ALNST 2-1/2\ GLOBAL AL FEMALE NST X MALE ADAPTER""",
2071678,G200-AA-SS,"DIXON G200-AA-SS 2\ 316SS Investment Cast Spool Adapter""",
2071676,G150-F-ALNST,"DIXON G150-F-ALNST 1-1/2\ GLOBAL ALUM MNST X MALE ADAPTER""",
2071673,G150-D-ALNST,"DIXON G150-D-ALNST 1-1/2\ GLOBAL AL FEMALE COUPLER X FNST WITH BRASS HANDLES""",
2071670,G150-B-ALNST,"DIXON G150-B-ALNST 1-1/2\ GLOBAL AL MNST X COUPLER""",
2071669,G150-A-ALNST,"DIXON G150-A-ALNST 1-1/2\ GLOBAL ALUM FNST X MALE ADPT""",
2071655,FSTP-SS-60F,"DIXON FSTP-SS-60F 6\NST Short Style Single Layer Polypro Strainer""",
2071654,FSTP-SS-50F,"DIXON FSTP-SS-50F 5\NST Short Style Single Layer Polypro Strainer""",
2071653,FSTP-SS-45F,"DIXON FSTP-SS-45F 4.5\NST Short Style Single Layer Polypro Strainer""",
2071652,FSTP-SS-40F,"DIXON FSTP-SS-40F 4\NST Short Style Single Layer Polypro Strainer""",
2071651,FSTP-SS-30F,"DIXON FSTP-SS-30F 3\NST Short Style Single Layer Polypro Strainer""",
2071650,FSTP-SS-25F,"DIXON FSTP-SS-25F 2.5\NST Short Style Single Layer Polypro Strainer""",
2071649,FSTP-SD-60F,"DIXON FSTP-SD-60F 6\NST Short Style Dual Layer Polypro Strainer""",
2071648,FSTP-SD-50F,"DIXON FSTP-SD-50F 5\NST Short Style Dual Layer Polypro Strainer""",
2071647,FSTP-SD-45F,"DIXON FSTP-SD-45F 4.5\NST Short Style Dual Layer Polypro Strainer""",
2071646,FSTP-SD-40F,"DIXON FSTP-SD-40F 4\NST Short Style Dual Layer Polypro Strainer""",
2071645,FSTP-SD-30F,"DIXON FSTP-SD-30F 3\NST Short Style Dual Layer Polypro Strainer""",
2071644,FSTP-SD-25F,"DIXON FSTP-SD-25F 2.5\NST Short Style Dual Layer Polypro Strainer""",
2071643,FSTP-LS-60F,"DIXON FSTP-LS-60F 6\NST Long Style Single Layer Polypro Strainer""",
2071642,FSTP-LS-50F,"DIXON FSTP-LS-50F 5\NST Long Style Single Layer Polypro Strainer""",
2071641,FSTP-LS-45F,"DIXON FSTP-LS-45F 4.5\NST Long Style Single Layer Polypro Strainer""",
2071640,FSTP-LS-40F,"DIXON FSTP-LS-40F 4\NST Long Style Single Layer Polypro Strainer""",
2071639,FSTP-LS-30F,"DIXON FSTP-LS-30F 3\NST Long Style Single Layer Polypro Strainer""",
2071638,FSTP-LS-25F,"DIXON FSTP-LS-25F 2.5\NST Long Style Single Layer Polypro Strainer""",
2071637,FSTP-LD-60F,"DIXON FSTP-LD-60F 6\NST Long Style Dual Layer Polypro Strainer""",
2071636,FSTP-LD-50F,"DIXON FSTP-LD-50F 5\NST Long Style Dual Layer Polypro Strainer""",
2071635,FSTP-LD-45F,"DIXON FSTP-LD-45F 4.5\NST Long Style Dual Layer Polypro Strainer""",
2071634,FSTP-LD-40F,"DIXON FSTP-LD-40F 4\NST Long Style Dual Layer Polypro Strainer""",
2071633,FSTP-LD-30F,"DIXON FSTP-LD-30F 3\NST Long Style Dual Layer Polypro Strainer""",
2071632,FSTP-LD-25F,"DIXON FSTP-LD-25F 2.5\NST Long Style Dual Layer Polypro Strainer""",
2071631,FST600S,"DIXON FST600S 6\ NPSH ALUM BARREL STRAINER""",
2071630,FST600F,"DIXON FST600F 6\ NST ALUM BARREL STRAINER""",
2071629,FST500S,"DIXON FST500S 5\ NPSH ALUM BARREL STRAINER""",
2071628,FST500F,"DIXON FST500F 5\ NST ALUM BARREL STRAINER""",
2071627,FST450S,"DIXON FST450S 4-1/2\ NPSH ALUM BARREL STRAINER""",
2071626,FST450F,"DIXON FST450F 4 1/2\ NST ALUM BARREL STRAINER""",
2071625,FST400S,"DIXON FST400S 4\ NPSH ALUM BARREL STRAINER""",
2071624,FST400F,"DIXON FST400F 4\ NST ALUM BARREL STRAINER""",
2071623,FST300S,"DIXON FST300S 3\ FNPSH ALUM BARREL STRAINER""",
2071622,FST300F,"DIXON FST300F 3\ NST ALUM BARREL STRAINER""",
2071621,FST250S,"DIXON FST250S 2-1/2\ FNPSH BARREL STRAINER""",
2071620,FST250F,"DIXON FST250F 2 1/2\ NST ALUM BARREL STRAINER""",
2071606,FSH-9682-550,"DIXON FSH-9682-550 6\ X 10 PVC SUCTION HOSE COUPLED FNST R/L X MNST ALUM ENDS""",
2071604,FSH-9682-520,"DIXON FSH-9682-520 6\ X 10 PVC SUCTION HOSE COUPLED ALUM STZ X STZ ENDS""",
2071603,FSH-9682-500,"DIXON FSH-9682-500 6\ X 10 PVC SUCTION HOSE WITH F L/H NST X MNST ALUM ENDS""",
2071602,FSH-9682-450,"DIXON FSH-9682-450 5\ X 10 PVC SUCTION HOSE COUPLED FNST R/L X MNST ALUM ENDS""",
2071600,FSH-9682-420,"DIXON FSH-9682-420 5\ X 10 PVC SUCTION HOSE COUPLED ALUM STZ X STZ ENDS""",
2071599,FSH-9682-400,"DIXON FSH-9682-400 5\ X 10 PVC SUCTION HOSE COUPLED FNST L/H X MNST AL""",
2071598,FSH-9682-350,"DIXON FSH-9682-350 4.5\ X 10 PVC SUCTION HOSE COUPLED FNST R/L X MNST ALUM ENDS""",
2071597,FSH-9682-300,"DIXON FSH-9682-300 4.5\ X 10 PVC SUCTION HOSE COUPLED FNST L/H X MNST AL""",
2071596,FSH-9682-250,"DIXON FSH-9682-250 4\ X 10 PVC SUCTION HOSE COUPLED FNST R/L X MNST ALUM ENDS""",
2071594,FSH-9682-220,"DIXON FSH-9682-220 4\ X 10 PVC SUCTION HOSE COUPLED ALUM STZ X STZ ENDS""",
2071593,FSH-9682-200,"DIXON FSH-9682-200 4\ X 10 PVC SUCTION HOSE COUPLED FNST L/H X MNST AL""",
2071592,FSH-9682-150,"DIXON FSH-9682-150 3\ X 10 PVC SUCTION HOSE COUPLED FNST R/L X MNST ALUM ENDS""",
2071590,FSH-9682-120,"DIXON FSH-9682-120 3\ X 10 PVC SUCTION HOSE COUPLED ALUM STZ X STZ ENDS""",
2071589,FSH-9682-100,"DIXON FSH-9682-100 3\ X 10 PVC SUCTION HOSE CPLD FNST L/H X MNST ALUM ENDS""",
2071588,FSH-9682-050W,"DIXON FSH-9682-050W \2.5\""\""x10SUCT HOSE FxM RL\"" WCT""",
2071587,FSH-9682-050Q,"DIXON FSH-9682-050Q \2.5\""\""x10 SUCT HOSE FxM RL\"" QST""",
2071586,FSH-9682-050NS,"DIXON FSH-9682-050NS \2.5\""\""x10 SUCT HOSE FxM RL\"" NSZ1""",
2071585,FSH-9682-050C,"DIXON FSH-9682-050C \2.5\""\""x10 SUCT HOSE FxM CSA RL\""""",
2071584,FSH-9682-050B,"DIXON FSH-9682-050B \2.5\""\""x10SUCT.HOSE FxM BAT RL\""""",
2071583,FSH-9682-050,"DIXON FSH-9682-050 2.5\ X 10 PVC SUCTION HOSE WITH FNST R/L X MNST ALUM ENDS""",
2071581,FSH-9682-020,"DIXON FSH-9682-020 2.5\ X 10 PVC SUCTION HOSE CPLD AL STORZ ENDS""",
2071580,FSH-9682-000W,"DIXON FSH-9682-000W \2.5\""\""x10SUCT HOSE FxM WCT LH\""""",
2071579,FSH-9682-000Q,"DIXON FSH-9682-000Q \2.5\""\""x10SUCT HOSE FxM QST LH\""""",
